YEAR,LATITUDE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,ACCIDENT TYPE
2021,40.64663,-73.95566,1,0,Injured
2021,40.764626,-73.810745,1,0,Injured
2021,40.753624,-73.96944,1,0,Injured
2021,40.796215,-73.822975,1,0,Injured
2021,40.723648,-73.99103,1,0,Injured
2021,40.752377,-73.97035,1,0,Injured
2021,40.87028,-73.878395,1,0,Injured
2021,40.738903,-73.98731,1,0,Injured
2021,40.63837,-73.997665,1,0,Injured
2021,40.62573,-73.9564,1,0,Injured
2021,40.68405,-73.98157,1,0,Injured
2021,40.74959,-74.00279,1,0,Injured
2021,40.651726,-73.949234,1,0,Injured
2021,40.639088,-74.03351,1,0,Injured
2021,40.71106,-73.94994,1,0,Injured
2022,40.768795,-73.958374,1,0,Injured
2022,40.718792,-73.98902,1,0,Injured
2022,40.68936,-73.7848,1,0,Injured
2022,40.749638,-73.99905,1,0,Injured
2021,40.71883,-73.840256,1,0,Injured
2021,40.763573,-73.92189,1,0,Injured
2021,40.618633,-73.98009,1,0,Injured
2021,40.76129,-73.99053,1,0,Injured
2021,40.634163,-74.00736,1,0,Injured
2021,40.81969,-73.90161,1,0,Injured
2021,40.62958,-74.01212,1,0,Injured
2021,40.758553,-73.919334,1,0,Injured
2021,40.737865,-74.00019,1,0,Injured
2021,40.702362,-73.91291,1,0,Injured
2021,40.640762,-74.00767,1,0,Injured
2021,40.6481,-73.91474,1,0,Injured
2021,40.670326,-73.79244,1,0,Injured
2021,40.60905,-73.9709,1,0,Injured
2021,40.692062,-73.95191,1,0,Injured
2021,40.811977,-73.92373,1,0,Injured
2022,40.670986,-73.984795,1,0,Injured
2021,40.60548,-73.999725,1,0,Injured
2021,40.65474,-73.90693,1,0,Injured
2021,40.7599,-73.98043,1,0,Injured
2021,40.63777,-74.07602,1,0,Injured
2021,40.764362,-73.96162,1,0,Injured
2021,40.700497,-73.90021,1,0,Injured
2021,40.810173,-73.937416,1,0,Injured
2021,40.743324,-73.984085,1,0,Injured
2021,40.74342,-73.99245,1,0,Injured
2021,40.759388,-73.96756,1,0,Injured
2021,40.824562,-73.948105,1,0,Injured
2021,40.756527,-73.994026,1,0,Injured
2021,40.630905,-73.920425,1,0,Injured
2021,40.758587,-73.98509,1,0,Injured
2021,40.835716,-73.89205,1,0,Injured
2021,40.62349,-74.000534,1,0,Injured
2021,40.83394,-73.9087,1,0,Injured
2021,40.83596,-73.94468,1,0,Injured
2021,40.83228,-73.90963,1,0,Injured
2021,40.559677,-74.14443,1,0,Injured
2021,40.7591,-73.99215,1,0,Injured
2021,40.64295,-73.977325,1,0,Injured
2021,40.645103,-74.01033,1,0,Injured
2021,40.668507,-73.92561,1,0,Injured
2021,40.65488,-73.96189,1,0,Injured
2021,40.635303,-74.00617,1,0,Injured
2021,40.58376,-73.82554,1,0,Injured
2021,40.643185,-73.94974,1,0,Injured
2021,40.654068,-74.001,1,0,Injured
2021,40.761265,-73.9094,1,0,Injured
2021,40.758274,-73.93336,1,0,Injured
2021,40.743664,-73.856064,1,0,Injured
2021,40.84518,-73.91417,1,0,Injured
2021,40.665565,-73.98932,1,0,Injured
2021,40.6931,-73.95489,1,0,Injured
2021,40.83608,-73.93996,1,0,Injured
2021,40.689426,-73.94223,1,0,Injured
2021,40.830025,-73.872765,1,0,Injured
2021,40.75365,-73.88573,1,0,Injured
2021,40.648067,-73.89784,1,0,Injured
2021,40.804382,-73.93954,1,0,Injured
2021,40.790623,-73.942444,1,0,Injured
2021,40.71901,-73.95019,1,0,Injured
2021,40.77178,-73.9792,1,0,Injured
2021,40.827232,-73.84365,1,0,Injured
2021,40.692314,-73.88268,1,0,Injured
2021,40.617104,-73.946075,1,0,Injured
2021,40.74209,-73.984985,1,0,Injured
2021,40.673996,-73.92785,1,0,Injured
2021,40.828297,-73.95087,1,0,Injured
2021,40.676292,-73.92484,1,0,Injured
2021,40.72369,-73.97604,1,0,Injured
2021,40.631092,-73.89835,1,0,Injured
2021,40.844116,-73.89857,1,0,Injured
2021,40.76025,-73.96753,1,0,Injured
2021,40.669754,-73.98923,1,0,Injured
2021,40.840042,-73.863945,1,0,Injured
2021,40.83037,-73.94015,1,0,Injured
2021,40.688408,-73.98657,1,0,Injured
2021,40.659405,-73.9505,1,0,Injured
2021,40.752403,-73.92442,1,0,Injured
2021,40.713436,-73.91467,1,0,Injured
2021,40.687637,-73.97077,1,0,Injured
2021,40.645134,-73.90232,1,0,Injured
2021,40.68708,-73.913895,1,0,Injured
2021,40.62806,-74.02029,1,0,Injured
2021,40.759872,-73.784485,1,0,Injured
2021,40.626156,-73.983475,1,0,Injured
2021,40.82138,-73.95414,1,0,Injured
2021,40.814632,-73.9442,1,0,Injured
2021,40.895374,-73.86356,1,0,Injured
2021,40.7014,-73.91858,1,0,Injured
2021,40.73885,-73.810356,1,0,Injured
2021,40.61901,-73.98686,1,0,Injured
2021,40.824738,-73.95435,1,0,Injured
2021,40.831127,-73.91745,1,0,Injured
2021,40.583107,-73.95415,1,0,Injured
2021,40.807037,-73.949745,1,0,Injured
2021,40.80759,-73.954956,1,0,Injured
2022,40.64477,-73.954735,1,0,Injured
2022,40.767918,-73.985725,1,0,Injured
2021,40.714066,-73.95163,1,0,Injured
2021,40.704956,-73.93152,1,0,Injured
2022,40.81958,-73.90184,1,0,Injured
2021,40.643322,-74.01217,1,0,Injured
2021,40.81728,-73.938545,1,0,Injured
2021,40.7276,-73.98531,1,0,Injured
2021,40.69642,-73.95978,1,0,Injured
2021,40.73303,-73.8542,1,0,Injured
2021,40.766666,-73.96707,1,0,Injured
2021,40.69073,-73.96635,1,0,Injured
2021,40.757072,-73.96986,1,0,Injured
2021,40.75271,-73.74144,1,0,Injured
2021,40.75232,-73.85959,1,0,Injured
2021,40.818146,-73.89929,1,0,Injured
2021,40.635933,-74.07585,1,0,Injured
2021,40.715515,-73.90245,1,0,Injured
2021,40.75014,-73.860756,1,0,Injured
2021,40.69203,-73.94565,1,0,Injured
2021,40.681503,-73.974236,1,0,Injured
2021,40.637054,-74.10938,1,0,Injured
2021,40.615772,-73.98308,1,0,Injured
2021,40.622894,-73.96002,1,0,Injured
2021,40.68665,-73.920746,1,0,Injured
2021,40.71062,-73.98534,1,0,Injured
2021,40.88788,-73.85028,1,0,Injured
2021,40.811108,-73.92734,1,0,Injured
2021,40.64169,-73.96341,1,0,Injured
2021,40.692024,-73.9818,1,0,Injured
2021,40.74125,-73.81912,1,0,Injured
2021,40.71148,-73.9456,1,0,Injured
2021,40.75045,-73.9873,1,0,Injured
2021,40.74447,-73.911514,1,0,Injured
2021,40.774567,-73.90665,1,0,Injured
2021,40.770424,-73.96222,1,0,Injured
2021,40.7083,-74.01125,1,0,Injured
2021,40.656116,-73.89666,1,0,Injured
2021,40.74565,-73.92485,1,0,Injured
2021,40.67232,-73.98933,1,0,Injured
2021,40.67264,-73.87281,1,0,Injured
2021,40.62318,-73.98611,1,0,Injured
2021,40.7206,-73.99395,1,0,Injured
2021,40.750416,-73.897736,1,0,Injured
2021,40.693012,-73.99077,1,0,Injured
2021,40.720627,-74.00522,1,0,Injured
2021,40.668495,-73.925606,1,0,Injured
2021,40.712856,-73.9049,1,0,Injured
2021,40.77234,-73.95269,1,0,Injured
2021,40.76155,-73.96659,1,0,Injured
2021,40.74118,-73.88663,2,0,Injured
2021,40.7591,-73.99215,1,0,Injured
2021,40.643425,-74.01207,1,0,Injured
2021,40.72293,-73.847336,1,0,Injured
2021,40.830414,-73.896706,1,0,Injured
2021,40.688698,-73.942085,1,0,Injured
2022,40.83928,-73.93986,1,0,Injured
2022,40.74782,-73.99665,1,0,Injured
2022,40.642708,-73.87845,1,0,Injured
2021,40.760155,-73.9988,1,0,Injured
2021,40.828186,-73.94056,1,0,Injured
2021,40.638523,-74.01,1,0,Injured
2021,40.68029,-73.94774,1,0,Injured
2021,40.768932,-73.96078,1,0,Injured
2021,40.820984,-73.891624,1,0,Injured
2021,40.666134,-73.99224,1,0,Injured
2021,40.663277,-73.98283,1,0,Injured
2021,40.811653,-73.91685,1,0,Injured
2021,40.726864,-73.97991,1,0,Injured
2021,40.78762,-73.84877,1,0,Injured
2021,40.719933,-73.97876,1,0,Injured
2021,40.7448,-73.953415,1,0,Injured
2021,40.683723,-73.96797,1,0,Injured
2021,40.72197,-73.97568,1,0,Injured
2021,40.678543,-73.96855,1,0,Injured
2021,40.824707,-73.91552,1,0,Injured
2021,40.777874,-73.95175,1,0,Injured
2021,40.72709,-73.97665,1,0,Injured
2021,40.758743,-73.96863,1,0,Injured
2021,40.76838,-73.99281,1,0,Injured
